name,alternative name, lat, long,category, description, comments,"note removal of start/end date, target value, and deadline, since this is associated with the project not the indicator itself"
Measuring sea salt,Medindo o sal do mar,232223,3435454,Marine Indicators,This indicator hopes to keep track of sea salt evolution,It can be applied to multiple projects,
Aquisição de 2 botes novos de 7 metros,,15.1042780, -23.5062580,indicator,Esse indicador mostra a necessidade de obter barcos para o que centro de transformação de pescado possa funcionar,no comment,
Construção e equimapento de 20 industrias,,15.1042780, -23.5062580,construction indicator,,no comment,
Aquisição de embarcações de maiores dimensões ,,15.1042780, -23.5062580,indicator,Esse indicador mostra a necessidade de um barco maior ir mais longe e trazer mais peixes o centro e para aumentar o orendimento,no comment,
Aquisição de 20 arcas frigoríficas ,,15.1042780, -23.5062580,indicator,Esse indicador mostra a necessidade de ter uma forma de fabricar gelo para conserva de peixe,no comment,
Rearranjo e equipamento de botes danificados,,15.1042780, -23.5062580,indicator,"Esse indicador mostra a necessidade de não discartar os recursos que possuem, recuperando botes",no comment,
Selecionar beneficiários para a eletrificação das habitações recorrendo a painéis fotovoltaicos,,15.1027290,-23.5609460,indicator,Esse indicador mostra que são selecionadas as pessoas mais carenciadas para benificiarem do projeto,no comment,
construção de 10 currais,,15.1027290,-23.5609460,construction indicator,construir curais para ajudar as familias na criação de animais e obter maiores rendimentos,no comment,
Eletrificação da bomba de abastecimento de água recorrendo à utilização de painéis fotovoltaicos,,15.1027290,-23.5609460,indicator,Bombeamento de água utilizando energias limpas,no comment,
